date,product,cut_type,size,sales_quantity
2022-01-02,Salmon Fillet,A,1-2kg,67
2022-01-02,Salmon Fillet,A,2-3kg,61
2022-01-02,Salmon Fillet,A,3-4kg,69
2022-01-02,Salmon Fillet,A,4-5kg,85
2022-01-02,Salmon Fillet,A,5-6kg,57
2022-01-02,Salmon Fillet,A,6-7kg,66
2022-01-02,Salmon Fillet,A,7-8kg,81
2022-01-02,Salmon Fillet,A,8-9kg,77
2022-01-02,Salmon Fillet,B,1-2kg,65
2022-01-02,Salmon Fillet,B,2-3kg,65
2022-01-02,Salmon Fillet,B,3-4kg,60
2022-01-02,Salmon Fillet,B,4-5kg,58
2022-01-02,Salmon Fillet,B,5-6kg,71
2022-01-02,Salmon Fillet,B,6-7kg,44
2022-01-02,Salmon Fillet,B,7-8kg,42
2022-01-02,Salmon Fillet,B,8-9kg,60
2022-01-02,Salmon Fillet,C,1-2kg,53
2022-01-02,Salmon Fillet,C,2-3kg,72
2022-01-02,Salmon Fillet,C,3-4kg,58
2022-01-02,Salmon Fillet,C,4-5kg,52
2022-01-02,Salmon Fillet,C,5-6kg,75
2022-01-02,Salmon Fillet,C,6-7kg,57
2022-01-02,Salmon Fillet,C,7-8kg,63
2022-01-02,Salmon Fillet,C,8-9kg,49
2022-01-02,Salmon Fillet,D,1-2kg,62
2022-01-02,Salmon Fillet,D,2-3kg,67
2022-01-02,Salmon Fillet,D,3-4kg,50
2022-01-02,Salmon Fillet,D,4-5kg,65
2022-01-02,Salmon Fillet,D,5-6kg,60
2022-01-02,Salmon Fillet,D,6-7kg,57
2022-01-02,Salmon Fillet,D,7-8kg,57
2022-01-02,Salmon Fillet,D,8-9kg,84
2022-01-02,Salmon Fillet,E,1-2kg,69
2022-01-02,Salmon Fillet,E,2-3kg,50
2022-01-02,Salmon Fillet,E,3-4kg,72
2022-01-02,Salmon Fillet,E,4-5kg,48
2022-01-02,Salmon Fillet,E,5-6kg,69
2022-01-02,Salmon Fillet,E,6-7kg,47
2022-01-02,Salmon Fillet,E,7-8kg,56
2022-01-02,Salmon Fillet,E,8-9kg,66
2022-01-02,Salmon Fillet,F,1-2kg,69
2022-01-02,Salmon Fillet,F,2-3kg,70
2022-01-02,Salmon Fillet,F,3-4kg,64
2022-01-02,Salmon Fillet,F,4-5kg,63
2022-01-02,Salmon Fillet,F,5-6kg,47
2022-01-02,Salmon Fillet,F,6-7kg,57
2022-01-02,Salmon Fillet,F,7-8kg,58
2022-01-02,Salmon Fillet,F,8-9kg,77
2022-01-02,Trout Fillet,,,141
2022-01-02,Cod Fillet,,,85
2022-01-02,Shrimp,,,129
2022-01-02,Herring,,,109
2022-01-09,Salmon Fillet,A,1-2kg,54
2022-01-09,Salmon Fillet,A,2-3kg,75
2022-01-09,Salmon Fillet,A,3-4kg,74
2022-01-09,Salmon Fillet,A,4-5kg,75
2022-01-09,Salmon Fillet,A,5-6kg,53
2022-01-09,Salmon Fillet,A,6-7kg,63
2022-01-09,Salmon Fillet,A,7-8kg,64
2022-01-09,Salmon Fillet,A,8-9kg,78
2022-01-09,Salmon Fillet,B,1-2kg,61
2022-01-09,Salmon Fillet,B,2-3kg,62
2022-01-09,Salmon Fillet,B,3-4kg,48
2022-01-09,Salmon Fillet,B,4-5kg,57
2022-01-09,Salmon Fillet,B,5-6kg,75
2022-01-09,Salmon Fillet,B,6-7kg,73
2022-01-09,Salmon Fillet,B,7-8kg,64
2022-01-09,Salmon Fillet,B,8-9kg,73
2022-01-09,Salmon Fillet,C,1-2kg,64
2022-01-09,Salmon Fillet,C,2-3kg,57
2022-01-09,Salmon Fillet,C,3-4kg,63
2022-01-09,Salmon Fillet,C,4-5kg,82
2022-01-09,Salmon Fillet,C,5-6kg,63
2022-01-09,Salmon Fillet,C,6-7kg,80
2022-01-09,Salmon Fillet,C,7-8kg,41
2022-01-09,Salmon Fillet,C,8-9kg,72
2022-01-09,Salmon Fillet,D,1-2kg,66
2022-01-09,Salmon Fillet,D,2-3kg,59
2022-01-09,Salmon Fillet,D,3-4kg,64
2022-01-09,Salmon Fillet,D,4-5kg,46
2022-01-09,Salmon Fillet,D,5-6kg,60
2022-01-09,Salmon Fillet,D,6-7kg,71
2022-01-09,Salmon Fillet,D,7-8kg,77
2022-01-09,Salmon Fillet,D,8-9kg,55
2022-01-09,Salmon Fillet,E,1-2kg,59
2022-01-09,Salmon Fillet,E,2-3kg,60
2022-01-09,Salmon Fillet,E,3-4kg,76
2022-01-09,Salmon Fillet,E,4-5kg,73
2022-01-09,Salmon Fillet,E,5-6kg,61
2022-01-09,Salmon Fillet,E,6-7kg,73
2022-01-09,Salmon Fillet,E,7-8kg,63
2022-01-09,Salmon Fillet,E,8-9kg,79
2022-01-09,Salmon Fillet,F,1-2kg,58
2022-01-09,Salmon Fillet,F,2-3kg,56
2022-01-09,Salmon Fillet,F,3-4kg,64
2022-01-09,Salmon Fillet,F,4-5kg,52
2022-01-09,Salmon Fillet,F,5-6kg,67
2022-01-09,Salmon Fillet,F,6-7kg,67
2022-01-09,Salmon Fillet,F,7-8kg,68
2022-01-09,Salmon Fillet,F,8-9kg,59
2022-01-09,Trout Fillet,,,100
2022-01-09,Cod Fillet,,,110
2022-01-09,Shrimp,,,111
2022-01-09,Herring,,,109
2022-01-16,Salmon Fillet,A,1-2kg,62
2022-01-16,Salmon Fillet,A,2-3kg,67
2022-01-16,Salmon Fillet,A,3-4kg,87
2022-01-16,Salmon Fillet,A,4-5kg,70
2022-01-16,Salmon Fillet,A,5-6kg,72
2022-01-16,Salmon Fillet,A,6-7kg,66
2022-01-16,Salmon Fillet,A,7-8kg,49
2022-01-16,Salmon Fillet,A,8-9kg,67
2022-01-16,Salmon Fillet,B,1-2kg,60
2022-01-16,Salmon Fillet,B,2-3kg,87
2022-01-16,Salmon Fillet,B,3-4kg,64
2022-01-16,Salmon Fillet,B,4-5kg,72
2022-01-16,Salmon Fillet,B,5-6kg,65
2022-01-16,Salmon Fillet,B,6-7kg,53
2022-01-16,Salmon Fillet,B,7-8kg,81
2022-01-16,Salmon Fillet,B,8-9kg,73
2022-01-16,Salmon Fillet,C,1-2kg,76
2022-01-16,Salmon Fillet,C,2-3kg,56
2022-01-16,Salmon Fillet,C,3-4kg,75
2022-01-16,Salmon Fillet,C,4-5kg,45
2022-01-16,Salmon Fillet,C,5-6kg,72
2022-01-16,Salmon Fillet,C,6-7kg,89
2022-01-16,Salmon Fillet,C,7-8kg,50
2022-01-16,Salmon Fillet,C,8-9kg,54
2022-01-16,Salmon Fillet,D,1-2kg,62
2022-01-16,Salmon Fillet,D,2-3kg,63
2022-01-16,Salmon Fillet,D,3-4kg,48
2022-01-16,Salmon Fillet,D,4-5kg,60
2022-01-16,Salmon Fillet,D,5-6kg,59
2022-01-16,Salmon Fillet,D,6-7kg,72
2022-01-16,Salmon Fillet,D,7-8kg,57
2022-01-16,Salmon Fillet,D,8-9kg,85
2022-01-16,Salmon Fillet,E,1-2kg,62
2022-01-16,Salmon Fillet,E,2-3kg,66
2022-01-16,Salmon Fillet,E,3-4kg,71
2022-01-16,Salmon Fillet,E,4-5kg,53
2022-01-16,Salmon Fillet,E,5-6kg,71
2022-01-16,Salmon Fillet,E,6-7kg,79
2022-01-16,Salmon Fillet,E,7-8kg,46
2022-01-16,Salmon Fillet,E,8-9kg,66
2022-01-16,Salmon Fillet,F,1-2kg,62
2022-01-16,Salmon Fillet,F,2-3kg,70
2022-01-16,Salmon Fillet,F,3-4kg,55
2022-01-16,Salmon Fillet,F,4-5kg,56
2022-01-16,Salmon Fillet,F,5-6kg,65
2022-01-16,Salmon Fillet,F,6-7kg,67
2022-01-16,Salmon Fillet,F,7-8kg,68
2022-01-16,Salmon Fillet,F,8-9kg,72
2022-01-16,Trout Fillet,,,109
2022-01-16,Cod Fillet,,,135
2022-01-16,Shrimp,,,140
2022-01-16,Herring,,,102
2022-01-23,Salmon Fillet,A,1-2kg,81
2022-01-23,Salmon Fillet,A,2-3kg,71
2022-01-23,Salmon Fillet,A,3-4kg,56
2022-01-23,Salmon Fillet,A,4-5kg,71
2022-01-23,Salmon Fillet,A,5-6kg,56
2022-01-23,Salmon Fillet,A,6-7kg,67
2022-01-23,Salmon Fillet,A,7-8kg,80
2022-01-23,Salmon Fillet,A,8-9kg,61
2022-01-23,Salmon Fillet,B,1-2kg,76
2022-01-23,Salmon Fillet,B,2-3kg,64
2022-01-23,Salmon Fillet,B,3-4kg,73
2022-01-23,Salmon Fillet,B,4-5kg,80
2022-01-23,Salmon Fillet,B,5-6kg,66
2022-01-23,Salmon Fillet,B,6-7kg,59
2022-01-23,Salmon Fillet,B,7-8kg,53
2022-01-23,Salmon Fillet,B,8-9kg,59
2022-01-23,Salmon Fillet,C,1-2kg,62
2022-01-23,Salmon Fillet,C,2-3kg,72
2022-01-23,Salmon Fillet,C,3-4kg,68
2022-01-23,Salmon Fillet,C,4-5kg,69
2022-01-23,Salmon Fillet,C,5-6kg,60
2022-01-23,Salmon Fillet,C,6-7kg,76
2022-01-23,Salmon Fillet,C,7-8kg,67
2022-01-23,Salmon Fillet,C,8-9kg,96
2022-01-23,Salmon Fillet,D,1-2kg,71
2022-01-23,Salmon Fillet,D,2-3kg,54
2022-01-23,Salmon Fillet,D,3-4kg,55
2022-01-23,Salmon Fillet,D,4-5kg,66
2022-01-23,Salmon Fillet,D,5-6kg,65
2022-01-23,Salmon Fillet,D,6-7kg,67
2022-01-23,Salmon Fillet,D,7-8kg,73
2022-01-23,Salmon Fillet,D,8-9kg,64
2022-01-23,Salmon Fillet,E,1-2kg,54
2022-01-23,Salmon Fillet,E,2-3kg,51
2022-01-23,Salmon Fillet,E,3-4kg,57
2022-01-23,Salmon Fillet,E,4-5kg,76
2022-01-23,Salmon Fillet,E,5-6kg,72
2022-01-23,Salmon Fillet,E,6-7kg,48
2022-01-23,Salmon Fillet,E,7-8kg,64
2022-01-23,Salmon Fillet,E,8-9kg,73
2022-01-23,Salmon Fillet,F,1-2kg,54
2022-01-23,Salmon Fillet,F,2-3kg,63
2022-01-23,Salmon Fillet,F,3-4kg,65
2022-01-23,Salmon Fillet,F,4-5kg,52
2022-01-23,Salmon Fillet,F,5-6kg,73
2022-01-23,Salmon Fillet,F,6-7kg,68
2022-01-23,Salmon Fillet,F,7-8kg,80
2022-01-23,Salmon Fillet,F,8-9kg,74
2022-01-23,Trout Fillet,,,89
2022-01-23,Cod Fillet,,,111
2022-01-23,Shrimp,,,137
2022-01-23,Herring,,,125
2022-01-30,Salmon Fillet,A,1-2kg,69
2022-01-30,Salmon Fillet,A,2-3kg,104
2022-01-30,Salmon Fillet,A,3-4kg,74
2022-01-30,Salmon Fillet,A,4-5kg,79
2022-01-30,Salmon Fillet,A,5-6kg,76
2022-01-30,Salmon Fillet,A,6-7kg,73
2022-01-30,Salmon Fillet,A,7-8kg,60
2022-01-30,Salmon Fillet,A,8-9kg,68
2022-01-30,Salmon Fillet,B,1-2kg,57
2022-01-30,Salmon Fillet,B,2-3kg,62
2022-01-30,Salmon Fillet,B,3-4kg,55
2022-01-30,Salmon Fillet,B,4-5kg,70
2022-01-30,Salmon Fillet,B,5-6kg,90
2022-01-30,Salmon Fillet,B,6-7kg,50
2022-01-30,Salmon Fillet,B,7-8kg,76
2022-01-30,Salmon Fillet,B,8-9kg,43
